Code,Indicator Name,Long definition,Source
SP.POP.2024.FE,"Population ages 20-24, female",Female population between the ages 20 to 24.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.
SP.POP.2024.MA,"Population ages 20-24, male",Male population between the ages 20 to 24.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.
